nr,chimpanzee,date,session,counterbalance,trial,trial.2,condition,first.evidence,first.evidence.side,second.evidence,second.evidence.side,first.choice,third.evidence,third.evidence.side,"second,choice",belief.revision,,,,,,,,,,,,,
9,indie,20.05.2024,1,independent_first_then_dependent,10,8,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
9,indie,21.05.2024,2,dependent_first_then_independent,1,1,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
9,indie,21.05.2024,2,dependent_first_then_independent,2,2,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
9,indie,21.05.2024,2,dependent_first_then_independent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
9,indie,21.05.2024,2,dependent_first_then_independent,4,3,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
9,indie,21.05.2024,2,dependent_first_then_independent,5,4,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
9,indie,21.05.2024,2,dependent_first_then_independent,6,5,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
9,indie,21.05.2024,2,dependent_first_then_independent,7,6,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
9,indie,21.05.2024,2,dependent_first_then_independent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
9,indie,21.05.2024,2,dependent_first_then_independent,9,7,independent,auditory_dropping,left,blurry_visual,right,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
9,indie,21.05.2024,2,dependent_first_then_independent,10,8,independent,auditory_dropping,right,blurry_visual,left,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
10,bwambale,21.05.2024,1,dependent_first_then_independent,1,1,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
10,bwambale,21.05.2024,1,dependent_first_then_independent,2,2,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
10,bwambale,21.05.2024,1,dependent_first_then_independent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
10,bwambale,21.05.2024,1,dependent_first_then_independent,4,3,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,right,right,no,,,,,,,,,,,,,
10,bwambale,21.05.2024,1,dependent_first_then_independent,5,4,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,left,left,no,,,,,,,,,,,,,
10,bwambale,21.05.2024,1,dependent_first_then_independent,6,5,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
10,bwambale,21.05.2024,1,dependent_first_then_independent,7,6,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
10,bwambale,21.05.2024,1,dependent_first_then_independent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
10,bwambale,21.05.2024,1,dependent_first_then_independent,9,7,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
10,bwambale,21.05.2024,1,dependent_first_then_independent,10,8,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
10,bwambale,22.05.2024,2,independent_first_then_dependent,1,1,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
10,bwambale,22.05.2024,2,independent_first_then_dependent,2,2,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
10,bwambale,22.05.2024,2,independent_first_then_dependent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
10,bwambale,22.05.2024,2,independent_first_then_dependent,4,3,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
10,bwambale,22.05.2024,2,independent_first_then_dependent,5,4,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,left,left,no,,,,,,,,,,,,,
10,bwambale,22.05.2024,2,independent_first_then_dependent,6,5,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
10,bwambale,22.05.2024,2,independent_first_then_dependent,7,6,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
10,bwambale,22.05.2024,2,independent_first_then_dependent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
10,bwambale,22.05.2024,2,independent_first_then_dependent,9,7,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
10,bwambale,22.05.2024,2,independent_first_then_dependent,10,8,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
11,asega,22.05.2024,1,independent_first_then_dependent,1,1,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
11,asega,22.05.2024,1,independent_first_then_dependent,2,2,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
11,asega,22.05.2024,1,independent_first_then_dependent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
11,asega,22.05.2024,1,independent_first_then_dependent,4,3,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
11,asega,22.05.2024,1,independent_first_then_dependent,5,4,independent,auditory_dropping,right,blurry_visual,left,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
11,asega,22.05.2024,1,independent_first_then_dependent,6,5,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,left,yes,,,,,,,,,,,,,
11,asega,22.05.2024,1,independent_first_then_dependent,7,6,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
11,asega,22.05.2024,1,independent_first_then_dependent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
11,asega,22.05.2024,1,independent_first_then_dependent,9,7,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
11,asega,22.05.2024,1,independent_first_then_dependent,10,8,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
11,asega,23.05.2024,2,dependent_first_then_independent,1,1,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,left,yes,,,,,,,,,,,,,
11,asega,23.05.2024,2,dependent_first_then_independent,2,2,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,right,yes,,,,,,,,,,,,,
11,asega,23.05.2024,2,dependent_first_then_independent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
11,asega,23.05.2024,2,dependent_first_then_independent,4,3,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
11,asega,23.05.2024,2,dependent_first_then_independent,5,4,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
11,asega,23.05.2024,2,dependent_first_then_independent,6,5,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
11,asega,23.05.2024,2,dependent_first_then_independent,7,6,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
11,asega,23.05.2024,2,dependent_first_then_independent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
11,asega,23.05.2024,2,dependent_first_then_independent,9,7,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
11,asega,23.05.2024,2,dependent_first_then_independent,10,8,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,left,right,yes,,,,,,,,,,,,,
12,kalema,22.05.2024,1,independent_first_then_dependent,1,1,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
12,kalema,22.05.2024,1,independent_first_then_dependent,2,2,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
12,kalema,22.05.2024,1,independent_first_then_dependent,3,F,filler,blurry_visual,left,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
12,kalema,22.05.2024,1,independent_first_then_dependent,4,3,independent,auditory_dropping,left,blurry_visual,right,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
12,kalema,22.05.2024,1,independent_first_then_dependent,5,4,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
12,kalema,22.05.2024,1,independent_first_then_dependent,6,5,dependent,auditory_shaking,left,blurry_visual,right,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
12,kalema,22.05.2024,1,independent_first_then_dependent,7,6,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
12,kalema,22.05.2024,1,independent_first_then_dependent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
12,kalema,22.05.2024,1,independent_first_then_dependent,9,7,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
12,kalema,22.05.2024,1,independent_first_then_dependent,10,8,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
12,kalema,23.05.2024,2,dependent_first_then_independent,1,1,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,left,yes,,,,,,,,,,,,,
12,kalema,23.05.2024,2,dependent_first_then_independent,2,2,dependent,auditory_shaking,right,blurry_visual,left,right,auditory_shaking,left,left,yes,,,,,,,,,,,,,
12,kalema,23.05.2024,2,dependent_first_then_independent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
12,kalema,23.05.2024,2,dependent_first_then_independent,4,3,dependent,auditory_shaking,left,blurry_visual,right,left,auditory_shaking,right,right,yes,,,,,,,,,,,,,
12,kalema,23.05.2024,2,dependent_first_then_independent,5,4,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,right,yes,,,,,,,,,,,,,
12,kalema,23.05.2024,2,dependent_first_then_independent,6,5,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
12,kalema,23.05.2024,2,dependent_first_then_independent,7,6,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
12,kalema,23.05.2024,2,dependent_first_then_independent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
12,kalema,23.05.2024,2,dependent_first_then_independent,9,7,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
12,kalema,23.05.2024,2,dependent_first_then_independent,10,8,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
13,medina,23.05.2024,1,dependent_first_then_independent,1,1,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
13,medina,23.05.2024,1,dependent_first_then_independent,2,2,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
13,medina,23.05.2024,1,dependent_first_then_independent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
13,medina,23.05.2024,1,dependent_first_then_independent,4,3,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,left,yes,,,,,,,,,,,,,
13,medina,23.05.2024,1,dependent_first_then_independent,5,4,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
13,medina,23.05.2024,1,dependent_first_then_independent,6,5,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
13,medina,23.05.2024,1,dependent_first_then_independent,7,6,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
13,medina,23.05.2024,1,dependent_first_then_independent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
13,medina,23.05.2024,1,dependent_first_then_independent,9,7,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
13,medina,23.05.2024,1,dependent_first_then_independent,10,8,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
13,medina,23.05.2024,2,independent_first_then_dependent,1,1,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
13,medina,23.05.2024,2,independent_first_then_dependent,2,2,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
13,medina,23.05.2024,2,independent_first_then_dependent,3,F,filler,blurry_visual,left,NA,NA,right,NA,NA,NA,NA,,,,,,,,,,,,,
13,medina,23.05.2024,2,independent_first_then_dependent,4,3,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
13,medina,23.05.2024,2,independent_first_then_dependent,5,4,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
13,medina,23.05.2024,2,independent_first_then_dependent,6,5,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,right,right,no,,,,,,,,,,,,,
13,medina,23.05.2024,2,independent_first_then_dependent,7,6,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
13,medina,23.05.2024,2,independent_first_then_dependent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
13,medina,23.05.2024,2,independent_first_then_dependent,9,7,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
13,medina,23.05.2024,2,independent_first_then_dependent,10,8,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
14,sally,23.05.2024,1,dependent_first_then_independent,1,1,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,left,yes,,,,,,,,,,,,,
14,sally,23.05.2024,1,dependent_first_then_independent,2,2,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
14,sally,23.05.2024,1,dependent_first_then_independent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
14,sally,23.05.2024,1,dependent_first_then_independent,4,3,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
14,sally,23.05.2024,1,dependent_first_then_independent,5,4,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,right,yes,,,,,,,,,,,,,
14,sally,23.05.2024,1,dependent_first_then_independent,6,5,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
14,sally,23.05.2024,1,dependent_first_then_independent,7,6,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
14,sally,23.05.2024,1,dependent_first_then_independent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
14,sally,23.05.2024,1,dependent_first_then_independent,9,7,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
14,sally,23.05.2024,1,dependent_first_then_independent,10,8,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
14,sally,24.05.2024,2,independent_first_then_dependent,1,1,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
14,sally,24.05.2024,2,independent_first_then_dependent,2,2,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
14,sally,24.05.2024,2,independent_first_then_dependent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
14,sally,24.05.2024,2,independent_first_then_dependent,4,3,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
14,sally,24.05.2024,2,independent_first_then_dependent,5,4,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
14,sally,24.05.2024,2,independent_first_then_dependent,6,5,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
14,sally,24.05.2024,2,independent_first_then_dependent,7,6,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
14,sally,24.05.2024,2,independent_first_then_dependent,8,F,filler,blurry_visual,right,NA,NA,right,NA,NA,NA,NA,,,,,,,,,,,,,
14,sally,24.05.2024,2,independent_first_then_dependent,9,7,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
14,sally,24.05.2024,2,independent_first_then_dependent,10,8,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
15,umutama,24.05.2024,1,independent_first_then_dependent,1,1,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
15,umutama,24.05.2024,1,independent_first_then_dependent,2,2,independent,auditory_dropping,right,blurry_visual,left,right,auditory_dropping,right,left,yes,,,,,,,,,,,,,
15,umutama,24.05.2024,1,independent_first_then_dependent,3,F,filler,blurry_visual,left,NA,NA,right,NA,NA,NA,NA,,,,,,,,,,,,,
15,umutama,24.05.2024,1,independent_first_then_dependent,4,3,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
15,umutama,24.05.2024,1,independent_first_then_dependent,5,4,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
15,umutama,24.05.2024,1,independent_first_then_dependent,6,5,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
15,umutama,24.05.2024,1,independent_first_then_dependent,7,6,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,right,yes,,,,,,,,,,,,,
15,umutama,24.05.2024,1,independent_first_then_dependent,8,F,filler,blurry_visual,right,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
15,umutama,24.05.2024,1,independent_first_then_dependent,9,7,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,left,yes,,,,,,,,,,,,,
15,umutama,24.05.2024,1,independent_first_then_dependent,10,8,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
15,umutama,25.05.2024,2,dependent_first_then_independent,1,1,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,left,yes,,,,,,,,,,,,,
15,umutama,25.05.2024,2,dependent_first_then_independent,2,2,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,right,yes,,,,,,,,,,,,,
15,umutama,25.05.2024,2,dependent_first_then_independent,3,F,filler,blurry_visual,right,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
15,umutama,25.05.2024,2,dependent_first_then_independent,4,3,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,left,yes,,,,,,,,,,,,,
15,umutama,25.05.2024,2,dependent_first_then_independent,5,4,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
15,umutama,25.05.2024,2,dependent_first_then_independent,6,5,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
15,umutama,25.05.2024,2,dependent_first_then_independent,7,6,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
15,umutama,25.05.2024,2,dependent_first_then_independent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
15,umutama,25.05.2024,2,dependent_first_then_independent,9,7,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
15,umutama,25.05.2024,2,dependent_first_then_independent,10,8,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
16,mawa,25.05.2024,1,independent_first_then_dependent,1,1,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
16,mawa,25.05.2024,1,independent_first_then_dependent,2,2,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
16,mawa,25.05.2024,1,independent_first_then_dependent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
16,mawa,25.05.2024,1,independent_first_then_dependent,4,3,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
16,mawa,25.05.2024,1,independent_first_then_dependent,5,4,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
16,mawa,25.05.2024,1,independent_first_then_dependent,6,5,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
16,mawa,25.05.2024,1,independent_first_then_dependent,7,6,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
16,mawa,25.05.2024,1,independent_first_then_dependent,8,F,filler,blurry_visual,right,NA,NA,right,NA,NA,NA,NA,,,,,,,,,,,,,
16,mawa,25.05.2024,1,independent_first_then_dependent,9,7,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
16,mawa,25.05.2024,1,independent_first_then_dependent,10,8,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
16,mawa,26.05.2024,2,dependent_first_then_independent,1,1,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
16,mawa,26.05.2024,2,dependent_first_then_independent,2,2,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
16,mawa,26.05.2024,2,dependent_first_then_independent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
16,mawa,26.05.2024,2,dependent_first_then_independent,4,3,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
16,mawa,26.05.2024,2,dependent_first_then_independent,5,4,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
16,mawa,26.05.2024,2,dependent_first_then_independent,6,5,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
16,mawa,26.05.2024,2,dependent_first_then_independent,7,6,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
16,mawa,26.05.2024,2,dependent_first_then_independent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
16,mawa,26.05.2024,2,dependent_first_then_independent,9,7,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
16,mawa,26.05.2024,2,dependent_first_then_independent,10,8,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
17,kisembo,27.05.2024,1,independent_first_then_dependent,1,1,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
17,kisembo,27.05.2024,1,independent_first_then_dependent,2,2,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
17,kisembo,27.05.2024,1,independent_first_then_dependent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
17,kisembo,27.05.2024,1,independent_first_then_dependent,4,3,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
17,kisembo,27.05.2024,1,independent_first_then_dependent,5,4,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
17,kisembo,27.05.2024,1,independent_first_then_dependent,6,5,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
17,kisembo,27.05.2024,1,independent_first_then_dependent,7,6,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
17,kisembo,27.05.2024,1,independent_first_then_dependent,8,F,filler,blurry_visual,right,NA,NA,right,NA,NA,NA,NA,,,,,,,,,,,,,
17,kisembo,27.05.2024,1,independent_first_then_dependent,9,7,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
17,kisembo,27.05.2024,1,independent_first_then_dependent,10,8,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
17,kisembo,28.05.2024,2,dependent_first_then_independent,1,1,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
17,kisembo,28.05.2024,2,dependent_first_then_independent,2,2,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
17,kisembo,28.05.2024,2,dependent_first_then_independent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
17,kisembo,28.05.2024,2,dependent_first_then_independent,4,3,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
17,kisembo,28.05.2024,2,dependent_first_then_independent,5,4,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
17,kisembo,28.05.2024,2,dependent_first_then_independent,6,5,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
17,kisembo,28.05.2024,2,dependent_first_then_independent,7,6,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
17,kisembo,28.05.2024,2,dependent_first_then_independent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
17,kisembo,28.05.2024,2,dependent_first_then_independent,9,7,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
17,kisembo,28.05.2024,2,dependent_first_then_independent,10,8,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
18,nani,27.05.2024,1,independent_first_then_dependent,1,1,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
18,nani,27.05.2024,1,independent_first_then_dependent,2,2,independent,auditory_dropping,right,blurry_visual,left,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
